id,set,question_id,question_label,question_text,response_scale,config,problem_description,theme,overlap_flag,rater_classification,rater_confidence
ESS_CI_C1_1,ESS,C1,General happiness (ESS R11),"Taking all things together, how happy would you say you are?",0 - Extremely unhappy; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely happy,CI-Guided,"Respondents found it challenging to condense complex and multifaceted feelings of happiness into a single numerical rating, feeling that the question oversimplifies their life experiences and circumstances.",Complex syntax,TRUE,,
ESS_CI_C1_2,ESS,C1,General happiness (ESS R11),"Taking all things together, how happy would you say you are?",0 - Extremely unhappy; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely happy,CI-Guided,"Respondents identified the term 'happy' as vague because it can mean different things to different people, and noted the lack of a specified timeframe, leading to uncertainty in their responses.",Response option inadequacy,TRUE,,
ESS_ER_C1_1,ESS,C1,General happiness (ESS R11),"Taking all things together, how happy would you say you are?",0 - Extremely unhappy; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely happy,ER-Directed,The phrase 'Taking all things together' is ambiguous and may lead to varied interpretations as it does not specify which aspects of life should be considered.,Vague/ambiguous terms,TRUE,,
ESS_ER_C1_2,ESS,C1,General happiness (ESS R11),"Taking all things together, how happy would you say you are?",0 - Extremely unhappy; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely happy,ER-Directed,"The question lacks a specified time frame for assessing happiness, which may cause respondents to consider different time periods, leading to retrieval difficulties.",Leading/biasing,TRUE,,
ESS_ER_C1_3,ESS,C1,General happiness (ESS R11),"Taking all things together, how happy would you say you are?",0 - Extremely unhappy; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely happy,ER-Directed,"The 0 to 10 scale may be difficult for some respondents to map their level of happiness onto, particularly if they are not accustomed to using such scales.",Response option inadequacy,TRUE,,
ESS_CI_C2_1,ESS,C2,Social trust (ESS R11),"Generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",0 - You can't be too careful; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Most people can be trusted,CI-Guided,"The terms 'most people' and 'trusted' are subjective and can be interpreted in various ways by different respondents, leading to potential inconsistencies in responses.",Response option inadequacy,TRUE,,
ESS_CI_C2_2,ESS,C2,Social trust (ESS R11),"Generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",0 - You can't be too careful; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Most people can be trusted,CI-Guided,"The question requires respondents to oversimplify their varying experiences and feelings about trust into a single number, which may not accurately capture their nuanced views.",Other,TRUE,,
ESS_ER_C2_1,ESS,C2,Social trust (ESS R11),"Generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",0 - You can't be too careful; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Most people can be trusted,ER-Directed,"The phrase 'you can't be too careful' is ambiguous and can be interpreted in various ways, leading to inconsistent understanding of the scale endpoints.",Response option inadequacy,TRUE,,
ESS_ER_C2_2,ESS,C2,Social trust (ESS R11),"Generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",0 - You can't be too careful; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Most people can be trusted,ER-Directed,"The question contrasts trust with carefulness, which are not necessarily mutually exclusive, leading to potential confusion as respondents might trust people generally but still think it's wise to be careful.",Leading/biasing,TRUE,,
ESS_ER_C2_3,ESS,C2,Social trust (ESS R11),"Generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",0 - You can't be too careful; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Most people can be trusted,ER-Directed,"The question lacks a specific reference period or context, making it difficult for respondents to retrieve relevant experiences or feelings about trust in people.",Other,TRUE,,
ESS_ER_C2_4,ESS,C2,Social trust (ESS R11),"Generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.",0 - You can't be too careful; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Most people can be trusted,ER-Directed,"The question presupposes that respondents have a general opinion about the trustworthiness of most people, which may not be the case for all individuals.",Presupposition,TRUE,,
ESS_ER_C3_1,ESS,C3,Political interest (ESS R11),"How interested would you say you are in politics — are you very interested, quite interested, hardly interested, or not at all interested?",Very interested; Quite interested; Hardly interested; Not at all interested,ER-Directed,"The terms 'very interested', 'quite interested', 'hardly interested', and 'not at all interested' are subjective and may be interpreted differently by respondents.",Vague/ambiguous terms,FALSE,,
ESS_ER_C3_2,ESS,C3,Political interest (ESS R11),"How interested would you say you are in politics — are you very interested, quite interested, hardly interested, or not at all interested?",Very interested; Quite interested; Hardly interested; Not at all interested,ER-Directed,"The response options may not capture nuances between 'quite interested' and 'hardly interested', which could be interpreted as being too close in meaning by some respondents.",Response option inadequacy,FALSE,,
ESS_CI_C4_1,ESS,C4,Self-rated health (ESS R11),"How is your health in general? Would you say it is very good, good, fair, bad, or very bad?",Very good; Good; Fair; Bad; Very bad,CI-Guided,"The term 'health' is perceived as broad and ambiguous, causing confusion about whether to consider physical health, mental health, daily feelings, or the number of illnesses.",Vague/ambiguous terms,TRUE,,
ESS_ER_C4_1,ESS,C4,Self-rated health (ESS R11),"How is your health in general? Would you say it is very good, good, fair, bad, or very bad?",Very good; Good; Fair; Bad; Very bad,ER-Directed,The terms used in the question and the phrase 'health in general' are subjective and may be interpreted differently by different respondents.,Vague/ambiguous terms,TRUE,,
ESS_ER_C4_2,ESS,C4,Self-rated health (ESS R11),"How is your health in general? Would you say it is very good, good, fair, bad, or very bad?",Very good; Good; Fair; Bad; Very bad,ER-Directed,Respondents may struggle to accurately assess their overall health without a specific reference period or criteria.,Other,TRUE,,
